Protein Name,UniProt Accession,Accession (without isoform number),Gene Name,BPA ,P value,E2,P value,PCB,P value,Pht,P value,EntrezGene
Serine/threonine-protein kinase Nek9  ,sp|Q8K1R7|NEK9_MOUSE,Q8K1R7,Nek9,0.06,0.733,0.05,0.575,0.29,0.394,0.22,0.837,217718
Serine/threonine-protein kinase OSR1  ,sp|Q6P9R2|OXSR1_MOUSE,Q6P9R2,Oxsr1,0.15,0.504,-0.24,0.306,-0.33,0.625,-0.66,0.632,108737
Serine/threonine-protein kinase PAK 2  ,sp|Q8CIN4|PAK2_MOUSE,Q8CIN4,Pak2,-0.31,0.149,-0.2,0.151,-0.16,0.165,0.07,0.487,224105
Serine/threonine-protein kinase PAK 4  ,sp|Q8BTW9|PAK4_MOUSE,Q8BTW9,Pak4,0.42,0.232,0.25,0.452,0.07,0.473,0.29,0.02,70584
Serine/threonine-protein kinase PRP4 homolog  ,sp|Q61136|PRP4B_MOUSE,Q61136,Prpf4b,0.07,0.735,0.23,0.191,0.34,0.188,0.12,0.555,19134
Serine/threonine-protein kinase RIO3  ,sp|Q9DBU3|RIOK3_MOUSE,Q9DBU3,Riok3,0.17,0.397,-0.26,0.625,-0.07,0.445,-0.13,0.513,66878
Serine/threonine-protein kinase SMG1  ,sp|Q8BKX6|SMG1_MOUSE,Q8BKX6,Smg1,0.25,0.504,0.57,0.077,-0.09,0.59,0.84,0.955,233789
Serine/threonine-protein kinase TAO1  ,sp|Q5F2E8|TAOK1_MOUSE,Q5F2E8,Taok1,0.01,0.987,0.38,0.17,-0.12,0.303,-0.03,0.307,216965
Serine/threonine-protein kinase TBK1  ,sp|Q9WUN2|TBK1_MOUSE,Q9WUN2,Tbk1,0.1,0.688,0.31,0.205,0.28,0.745,0.5,0.625,56480
Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform  ,sp|Q6P1F6|2ABA_MOUSE,Q6P1F6,Ppp2r2a,-0.1,0.542,0.09,0.899,-0.14,0.817,-0.06,0.087,71978
Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B delta isoform  ,sp|Q925E7|2ABD_MOUSE,Q925E7,Ppp2r2d,-0.05,0.782,0.22,0.076,-0.13,0.737,-0.8,0.054,52432
Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform  ,sp|Q6PD03|2A5A_MOUSE,Q6PD03,Ppp2r5a,-0.04,0.829,-0.14,0.397,0.13,0.437,0.03,0.861,226849
Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit epsilon isoform  ,sp|Q61151|2A5E_MOUSE,Q61151,Ppp2r5e,0.05,0.793,-0.22,0.726,0.55,0.219,0.8,0.332,26932
Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform  ,sp|Q76MZ3|2AAA_MOUSE,Q76MZ3,Ppp2r1a,-0.47,0.156,-0.24,0.464,-0.37,0.418,-0.6,0.037,51792
Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform  ,sp|Q7TNP2|2AAB_MOUSE,Q7TNP2,Ppp2r1b,0.55,0.095,0.73,0.027,0.2,0.291,0.51,0.359,73699
Serine/threonine-protein phosphatase 2A activator  ,sp|P58389|PTPA_MOUSE,P58389,Ppp2r4,-0.27,0.492,0.07,0.358,-0.63,0.212,-0.86,0.004,110854
Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform  ,sp|P63330|PP2AA_MOUSE,P63330,Ppp2ca,-0.36,0.509,0.35,0.145,0.77,0.021,0.09,0.145,19052
Serine/threonine-protein phosphatase 2A catalytic subunit beta isoform  ,sp|P62715|PP2AB_MOUSE,P62715,Ppp2cb,-0.08,0.786,-0.23,0.673,0.3,0.499,0.26,0.055,19053
Serine/threonine-protein phosphatase 2B catalytic subunit beta isoform  ,sp|P48453|PP2BB_MOUSE,P48453,Ppp3cb,0,0.981,0.06,0.868,0.35,0.969,0.7,0.873,19056
Serine/threonine-protein phosphatase 4 catalytic subunit  ,sp|P97470|PP4C_MOUSE,P97470,Ppp4c,0.15,0.533,0.23,0.137,-0.04,0.346,-0.54,0.379,56420
Serine/threonine-protein phosphatase 4 regulatory subunit 2  ,sp|Q0VGB7|PP4R2_MOUSE,Q0VGB7,Ppp4r2,-0.1,0.606,0.26,0.191,-0.11,0.5,-0.5,0.308,232314
Serine/threonine-protein phosphatase 4 regulatory subunit 3A  ,sp|Q6P2K6|P4R3A_MOUSE,Q6P2K6,Smek1,0.01,0.941,0.02,0.27,0.08,0.951,0.38,0.106,68734
Serine/threonine-protein phosphatase 5  ,sp|Q60676|PPP5_MOUSE,Q60676,Ppp5c,-0.1,0.652,-0.38,0.205,0.45,0.334,0.74,0.104,19060
Serine/threonine-protein phosphatase 6 catalytic subunit  ,sp|Q9CQR6|PPP6_MOUSE,Q9CQR6,Ppp6c,-0.02,0.926,-0.29,0.383,-0.28,0.98,-0.3,0.28,67857
Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A  ,sp|Q505D1|ANR28_MOUSE,Q505D1,Ankrd28,0.33,0.3,-0.13,0.5,-0.17,0.537,0.38,0.776,105522
Serine/threonine-protein phosphatase 6 regulatory subunit 1  ,sp|Q7TSI3|PP6R1_MOUSE,Q7TSI3,Ppp6r1,-0.23,0.258,0.01,0.744,0.03,0.659,-0.05,0.101,243819
Serine/threonine-protein phosphatase PP1-alpha catalytic subunit  ,sp|P62137|PP1A_MOUSE,P62137,Ppp1ca,-0.03,0.926,0.56,0.35,-0.01,0.377,-0.45,0.257,19045
Serine/threonine-protein phosphatase PP1-beta catalytic subunit  ,sp|P62141|PP1B_MOUSE,P62141,Ppp1cb,-0.38,0.196,0.31,0.08,-0.78,0.061,-1.05,0.004,19046
Serine-threonine kinase receptor-associated protein  ,sp|Q9Z1Z2|STRAP_MOUSE,Q9Z1Z2,Strap,-0.27,0.208,-0.1,0.461,-0.11,0.652,-0.17,0.268,20901
"Serine--tRNA ligase, cytoplasmic  ",sp|P26638|SYSC_MOUSE,P26638,Sars,-0.74,0.03,-0.56,0.058,-0.42,0.156,-0.53,0.51,20226
"Serine--tRNA ligase, mitochondrial  ",sp|Q9JJL8|SYSM_MOUSE,Q9JJL8,Sars2,-0.1,0.655,0.38,0.722,0.42,0.118,0.49,0.344,71984
Serotransferrin  ,sp|Q921I1|TRFE_MOUSE,Q921I1,Tf,-0.01,0.942,-0.01,0.792,0.02,0.651,0.17,0.916,22041
Serpin B5  ,sp|P70124|SPB5_MOUSE,P70124,Serpinb5,-0.23,0.295,0.01,0.896,-0.73,0.69,-1.32,0.579,20724
Serpin B6  ,sp|Q60854|SPB6_MOUSE,Q60854,Serpinb6,-0.18,0.557,-0.07,0.935,-0.53,0.626,-0.8,0.321,20719
Serpin H1  ,sp|P19324|SERPH_MOUSE,P19324,Serpinh1,-0.02,0.949,0.02,0.885,0.12,0.831,-0.07,0.509,12406
Serum albumin  ,sp|P07724|ALBU_MOUSE,P07724,Alb,0.44,0.234,0.03,0.8,0.19,0.428,-0.6,0.453,11657
Serum deprivation-response protein  ,sp|Q63918|SDPR_MOUSE,Q63918,Sdpr,0.14,0.543,-0.13,0.778,0.02,0.164,0.47,0.795,20324
Serum paraoxonase/arylesterase 2  ,sp|Q62086|PON2_MOUSE,Q62086,Pon2,0.12,0.563,0.01,0.623,0.11,0.84,0.21,0.855,330260
SET and MYND domain-containing protein 5  ,sp|Q3TYX3|SMYD5_MOUSE,Q3TYX3,Smyd5,0.12,0.722,-0.32,0.823,0.22,0.885,0.32,0.702,232187
Set1/Ash2 histone methyltransferase complex subunit ASH2  ,sp|Q91X20|ASH2L_MOUSE,Q91X20,Ash2l,0.14,0.563,0.27,0.24,0.15,0.287,0.01,0.292,23808
S-formylglutathione hydrolase  ,sp|Q9R0P3|ESTD_MOUSE,Q9R0P3,Esd,-0.47,0.045,-0.01,0.317,-0.71,0.634,-1.18,0.343,13885
SH2 domain-containing protein 4A  ,sp|Q9D7V1|SH24A_MOUSE,Q9D7V1,Sh2d4a,0.26,0.177,-0.09,0.889,0.37,0.938,0.63,0.725,72281
SH3 and cysteine-rich domain-containing protein 2  ,sp|Q8R1B0|STAC2_MOUSE,Q8R1B0,Stac2,-0.23,0.489,0.15,0.418,-1.23,0.185,-1.18,0.235,217154
SH3 domain-binding glutamic acid-rich-like protein  ,sp|Q9JJU8|SH3L1_MOUSE,Q9JJU8,Sh3bgrl,0.05,0.841,-0.32,0.424,-0.31,0.479,-0.83,0.836,56726
SH3 domain-binding glutamic acid-rich-like protein 3  ,sp|Q91VW3|SH3L3_MOUSE,Q91VW3,Sh3bgrl3,-0.05,0.761,0.21,0.453,-0.15,0.397,0.11,0.084,73723
Shootin-1  ,sp|Q8K2Q9|SHOT1_MOUSE,Q8K2Q9,Kiaa1598,0.25,0.317,0.37,0.356,0.05,0.83,0.08,0.848,71653
"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial  ",sp|Q9DBL1|ACDSB_MOUSE,Q9DBL1,Acadsb,-0.07,0.892,-0.2,0.894,0.26,0.903,0.58,0.174,66885
"Short-chain specific acyl-CoA dehydrogenase, mitochondrial  ",sp|Q07417|ACADS_MOUSE,Q07417,Acads,0.09,0.864,-0.06,0.484,-0.27,0.581,-0.36,0.401,11409
Sial peptidase complex catalytic subunit SEC11A  ,sp|Q9R0P6|SC11A_MOUSE,Q9R0P6,Sec11a,-0.35,0.249,-0.5,0.352,-0.34,0.125,-0.29,0.217,56529
Sial peptidase complex subunit 2  ,sp|Q9CYN2|SPCS2_MOUSE,Q9CYN2,Spcs2,-0.05,0.783,0.06,0.61,-0.36,0.678,-0.72,0.26,66624
Sial recoition particle 68 kDa protein  ,sp|Q8BMA6|SRP68_MOUSE,Q8BMA6,Srp68,0.11,0.536,0.29,0.192,-0.09,0.972,-0.18,0.444,217337
Sial recoition particle 9 kDa protein  ,sp|P49962|SRP09_MOUSE,P49962,Srp9,-0.52,0.167,-0.08,0.604,0.12,0.805,-0.01,0.236,27058
Sial recoition particle receptor subunit alpha  ,sp|Q9DBG7|SRPR_MOUSE,Q9DBG7,Srpr,0.11,0.654,0.11,0.777,-0.37,0.322,-0.77,0.275,67398
Sial transducer and activator of transcription 3  ,sp|P42227|STAT3_MOUSE,P42227,Stat3,-0.29,0.192,0.19,0.798,-0.48,0.249,-0.53,0.447,20848
Sial transducer and activator of transcription 5A  ,sp|P42230|STA5A_MOUSE,P42230,Stat5a,0,0.978,0.79,0.004,-0.4,0.049,-0.22,0.62,20850
Sial transducer and transcription activator 6  ,sp|P52633|STAT6_MOUSE,P52633,Stat6,0.02,0.942,-0.25,0.179,-0.17,0.896,-0.22,0.708,20852
Sial transducing adapter molecule 1  ,sp|P70297|STAM1_MOUSE,P70297,Stam,-0.05,0.809,-0.27,0.649,0.12,0.795,0.51,0.135,20844
Sial transducing adapter molecule 2  ,sp|O88811|STAM2_MOUSE,O88811,Stam2,-0.03,0.857,0.12,0.593,0.25,0.437,0.35,0.747,56324
Sialidase-1  ,sp|O35657|NEUR1_MOUSE,O35657,Neu1,0.27,0.318,-0.29,0.421,-0.27,0.154,0.04,0.969,18010
Sickle tail protein  ,sp|A2AQ25|SKT_MOUSE,A2AQ25,Skt,0.52,0.075,0.1,0.637,0.51,0.186,0.7,0.208,208618
Sideroflexin-1  ,sp|Q99JR1|SFXN1_MOUSE,Q99JR1,Sfxn1,-0.3,0.602,-0.22,0.93,0.35,0.593,0.35,0.833,14057
Sin3 histone deacetylase corepressor complex component SDS3  ,sp|Q8BR65|SDS3_MOUSE,Q8BR65,Suds3,0.2,0.502,0.39,0.05,0.15,0.404,0.12,0.786,71954
Single-strand selective monofunctional uracil DNA glycosylase  ,sp|Q6P5C5|SMUG1_MOUSE,Q6P5C5,Smug1,-0.05,0.845,-0.29,0.348,-0.53,0.159,-0.56,0.873,71726
Sjoegren syndrome/scleroderma autoantigen 1 homolog  ,sp|P56873|SSA27_MOUSE,P56873,Sssca1,0.01,0.952,-0.06,0.622,-0.01,0.503,0.32,0.662,56390
SLAIN motif-containing protein 2  ,sp|Q8CI08|SLAI2_MOUSE,Q8CI08,Slain2,0.2,0.278,-0.01,0.773,0.06,0.715,0.15,0.501,75991
Small acidic protein  ,sp|Q9R0P4|SMAP_MOUSE,Q9R0P4,Smap,-0.27,0.24,-0.74,0.093,-0.27,0.38,-0.54,0.115,56372
Small EDRK-rich factor 2  ,sp|P84102|SERF2_MOUSE,P84102,Serf2,-0.38,0.051,-0.3,0.202,-0.39,0.021,-0.1,0.417,378702
Small nuclear ribonucleoprotein E  ,sp|P62305|RUXE_MOUSE,P62305,Snrpe,0.84,0.003,0.48,0.047,0.09,0.007,-0.8,0.277,20643
Small nuclear ribonucleoprotein F  ,sp|P62307|RUXF_MOUSE,P62307,Snrpf,-0.26,0.542,-0.19,0.312,0.11,0.701,-0.15,0.306,69878
Small nuclear ribonucleoprotein G  ,sp|P62309|RUXG_MOUSE,P62309,Snrpg,-0.11,0.519,0.08,0.671,0.15,0.53,0.2,0.298,68011
Small nuclear ribonucleoprotein Sm D1  ,sp|P62315|SMD1_MOUSE,P62315,Snrpd1,-0.31,0.359,0.26,0.377,-0.51,0.73,-0.86,0.978,20641
Small nuclear ribonucleoprotein Sm D2  ,sp|P62317|SMD2_MOUSE,P62317,Snrpd2,0.02,0.943,0.05,0.833,-0.56,0.802,-1.18,0.877,107686
Small nuclear ribonucleoprotein Sm D3  ,sp|P62320|SMD3_MOUSE,P62320,Snrpd3,-0.24,0.288,0.19,0.553,-0.14,0.805,-0.18,0.988,67332
Small ubiquitin-related modifier 1  ,sp|P63166|SUMO1_MOUSE,P63166,Sumo1,-0.11,0.623,-0.36,0.164,-0.02,0.423,0.31,0.778,22218
Small ubiquitin-related modifier 2  ,sp|P61957|SUMO2_MOUSE,P61957,Sumo2,-0.35,0.275,-0.31,0.69,0.26,0.662,0.28,0.284,170930
Small ubiquitin-related modifier 3  ,sp|Q9Z172|SUMO3_MOUSE,Q9Z172,Sumo3,-0.15,0.575,0,0.869,0.25,0.683,0.37,0.46,20610
S-methyl-5'-thioadenosine phosphorylase  ,sp|Q9CQ65|MTAP_MOUSE,Q9CQ65,Mtap,-0.35,0.206,0.3,0.152,-0.03,0.821,-0.18,0.042,66902
SNARE-associated protein Snapin  ,sp|Q9Z266|SNAPN_MOUSE,Q9Z266,Snapin,0.1,0.558,0.08,0.677,0.47,0.124,0.59,0.629,20615
SNW domain-containing protein 1  ,sp|Q9CSN1|SNW1_MOUSE,Q9CSN1,Snw1,-0.04,0.821,0.18,0.646,-0.28,0.33,-0.06,0.486,66354
Sodium/potassium-transporting ATPase subunit alpha-1  ,sp|Q8VDN2|AT1A1_MOUSE,Q8VDN2,Atp1a1,-0.4,0.146,0.24,0.743,0.41,0.577,-0.32,0.212,11928
Sodium/potassium-transporting ATPase subunit beta-1  ,sp|P14094|AT1B1_MOUSE,P14094,Atp1b1,-0.15,0.429,-0.23,0.22,-0.58,0.231,-0.77,0.789,11931
Sodium/potassium-transporting ATPase subunit beta-3  ,sp|P97370|AT1B3_MOUSE,P97370,Atp1b3,-0.53,0.039,-0.54,0.053,-0.21,0.131,-0.27,0.54,11933
Sodium-coupled monocarboxylate transporter 1  ,sp|Q8BYF6|SC5A8_MOUSE,Q8BYF6,Slc5a8,0.44,0.342,1.18,0.026,0.31,0.364,-0.19,0.871,216225
Soluble calcium-activated nucleotidase 1  ,sp|Q8VCF1|CANT1_MOUSE,Q8VCF1,Cant1,0.05,0.787,0.49,0.656,0.02,0.418,0.3,0.413,76025
Solute carrier family 12 member 2  ,sp|P55012|S12A2_MOUSE,P55012,Slc12a2,0.05,0.813,-0.18,0.183,0.34,0.428,0.18,0.393,20496
"Solute carrier family 2, facilitated glucose transporter member 1  ",sp|P17809|GTR1_MOUSE,P17809,Slc2a1,-0.21,0.437,-0.03,0.704,-0.2,0.462,-0.21,0.986,20525
Sorbitol dehydrogenase  ,sp|Q64442|DHSO_MOUSE,Q64442,Sord,-0.13,0.458,0.05,0.722,-0.17,0.839,-0.18,0.798,20322
Sorcin  ,sp|Q6P069|SORCN_MOUSE,Q6P069,Sri,-0.19,0.413,-0.65,0.048,-0.09,0.293,0.11,0.088,109552
Sorting nexin-1  ,sp|Q9WV80|SNX1_MOUSE,Q9WV80,Snx1,-0.02,0.915,0.07,0.968,-0.18,0.929,-0.4,0.688,56440
Sorting nexin-12  ,sp|O70493|SNX12_MOUSE,O70493,Snx12,0.29,0.198,0.03,0.981,0.11,0.725,0.35,0.801,55988
Sorting nexin-15  ,sp|Q91WE1|SNX15_MOUSE,Q91WE1,Snx15,0.34,0.383,0.6,0.16,-0.04,0.588,0.21,0.82,69024
Sorting nexin-2  ,sp|Q9CWK8|SNX2_MOUSE,Q9CWK8,Snx2,0.01,0.961,-0.16,0.322,-0.19,0.639,-0.23,0.362,67804
Sorting nexin-4  ,sp|Q91YJ2|SNX4_MOUSE,Q91YJ2,Snx4,-0.01,0.951,-0.13,0.401,-0.18,0.16,-0.15,0.127,69150
Sorting nexin-5  ,sp|Q9D8U8|SNX5_MOUSE,Q9D8U8,Snx5,-0.08,0.71,-0.1,0.205,-0.37,0.917,-0.84,0.861,69178
Sorting nexin-6  ,sp|Q6P8X1|SNX6_MOUSE,Q6P8X1,Snx6,-0.12,0.474,-0.18,0.359,-0.51,0.027,-0.3,0.493,72183
Sorting nexin-7  ,sp|Q9CY18|SNX7_MOUSE,Q9CY18,Snx7,0.05,0.829,0.06,0.42,0.34,0.273,0.68,0.012,76561
Sorting nexin-9  ,sp|Q91VH2|SNX9_MOUSE,Q91VH2,Snx9,0.58,0.183,0.23,0.271,0.15,0.483,-0.23,0.936,66616
SPARC  ,sp|P07214|SPRC_MOUSE,P07214,Sparc,0.39,0.127,0.46,0.116,0.58,0.404,0.62,0.889,20692
SPARC-related modular calcium-binding protein 2  ,sp|Q8CD91|SMOC2_MOUSE,Q8CD91,Smoc2,-0.01,0.945,0.06,0.928,0.27,0.285,0.42,0.337,64074
Spastin  ,sp|Q9QYY8|SPAST_MOUSE,Q9QYY8,Spast,-0.16,0.359,0.03,0.841,-0.04,0.229,0.35,0.775,50850
"Spectrin alpha chain, non-erythrocytic 1  ",sp|P16546|SPTN1_MOUSE,P16546,Sptan1,0.14,0.618,0.21,0.503,-0.39,0.975,-0.78,0.748,20740
"Spectrin beta chain, non-erythrocytic 1  ",sp|Q62261|SPTB2_MOUSE,Q62261,Sptbn1,-0.13,0.417,0.22,0.107,-0.21,0.935,-0.44,0.349,20742
Sperm-associated antigen 7  ,sp|Q7TNE3|SPAG7_MOUSE,Q7TNE3,Spag7,-0.21,0.357,-0.24,0.434,0.2,0.733,0.47,0.493,216873
Spermatogenesis-associated protein 5  ,sp|Q3UMC0|SPAT5_MOUSE,Q3UMC0,Spata5,0.05,0.806,0.21,0.617,0.21,0.71,0.55,0.107,57815
Spermatogenesis-associated serine-rich protein 2  ,sp|Q8K1N4|SPAS2_MOUSE,Q8K1N4,Spats2,0.5,0.227,-0.01,0.979,0.24,0.701,0.54,0.719,72572
Spermidine synthase  ,sp|Q64674|SPEE_MOUSE,Q64674,Srm,-0.11,0.469,-0.06,0.651,-0.05,0.896,-0.13,0.814,20810
S-phase kinase-associated protein 1  ,sp|Q9WTX5|SKP1_MOUSE,Q9WTX5,Skp1,-0.16,0.522,-0.39,0.281,-0.59,0.72,-1.25,0.983,21402
Sphingosine kinase 2  ,sp|Q9JIA7|SPHK2_MOUSE,Q9JIA7,Sphk2,0.16,0.5,0.09,0.634,-0.04,1,-0.08,0.819,56632
Sphingosine-1-phosphate lyase 1  ,sp|Q8R0X7|SGPL1_MOUSE,Q8R0X7,Sgpl1,0.07,0.742,-0.04,0.745,0.22,0.797,0.54,0.862,20397
Spindlin-1  ,sp|Q61142|SPIN1_MOUSE,Q61142,Spin1,0.12,0.524,-0.08,0.68,0.35,0.936,0.66,0.724,20729
Spliceosome RNA helicase Ddx39b  ,sp|Q9Z1N5|DX39B_MOUSE,Q9Z1N5,Ddx39b,-0.02,0.899,0.12,0.076,-0.38,0.828,-0.83,0.602,53817
Spliceosome-associated protein CWC15 homolog  ,sp|Q9JHS9|CWC15_MOUSE,Q9JHS9,Cwc15,-0.22,0.308,-0.35,0.766,0.68,0.246,1.03,0.743,66070
Splicing factor 3A subunit 1  ,sp|Q8K4Z5|SF3A1_MOUSE,Q8K4Z5,Sf3a1,-0.01,0.945,0.22,0.301,-0.1,0.38,-0.14,0.291,67465
Splicing factor 3A subunit 3  ,sp|Q9D554|SF3A3_MOUSE,Q9D554,Sf3a3,-0.55,0.032,-0.55,0.048,0.02,0.487,-0.05,0.438,75062
Splicing factor 3B subunit 3  ,sp|Q921M3|SF3B3_MOUSE,Q921M3,Sf3b3,-0.05,0.74,0.05,0.629,-0.23,0.585,-0.3,0.429,101943
Splicing factor 3B subunit 4  ,sp|Q8QZY9|SF3B4_MOUSE,Q8QZY9,Sf3b4,-0.15,0.38,0.02,0.648,-0.06,0.783,-0.13,0.366,107701
Splicing factor 3B subunit 5  ,sp|Q923D4|SF3B5_MOUSE,Q923D4,Sf3b5,-0.04,0.803,-0.36,0.332,-0.11,0.76,-0.25,0.32,66125
Splicing factor 45  ,sp|Q8JZX4|SPF45_MOUSE,Q8JZX4,Rbm17,-0.1,0.801,0.39,0.076,-0.02,0.317,-0.41,0.561,76938
Splicing factor U2AF 35 kDa subunit  ,sp|Q9D883|U2AF1_MOUSE,Q9D883,U2af1,0.03,0.877,0.05,0.433,-0.11,0.213,-0.55,0.602,108121
Splicing factor U2AF 65 kDa subunit  ,sp|P26369|U2AF2_MOUSE,P26369,U2af2,-0.08,0.626,-0.07,0.509,-0.19,0.981,-0.59,0.264,22185
"Splicing factor, arginine/serine-rich 19  ",sp|Q5U4C3|SFR19_MOUSE,Q5U4C3,Scaf1,0.06,0.752,-0.32,0.129,-0.16,0.758,-0.11,0.469,233208
"Splicing factor, proline- and glutamine-rich  ",sp|Q8VIJ6|SFPQ_MOUSE,Q8VIJ6,Sfpq,-0.28,0.126,-0.1,0.405,-0.11,0.161,0.29,0.373,71514
SPRY domain-containing protein 4  ,sp|Q91WK1|SPRY4_MOUSE,Q91WK1,Spryd4,-0.11,0.495,0,0.422,-0.93,0.287,-0.48,0.175,66701
SPRY domain-containing protein 7  ,sp|Q3TFQ1|SPRY7_MOUSE,Q3TFQ1,Spryd7,0.17,0.407,-0.11,0.56,0.06,0.458,0.41,0.542,66674
Squamous cell carcinoma antigen recoized by T-cells 3  ,sp|Q9JLI8|SART3_MOUSE,Q9JLI8,Sart3,-0.04,0.818,0.27,0.164,-0.39,0.173,-0.37,0.349,53890
"SRA stem-loop-interacting RNA-binding protein, mitochondrial  ",sp|Q9D8T7|SLIRP_MOUSE,Q9D8T7,Slirp,-0.05,0.78,0.06,0.803,-0.02,0.318,0.17,0.755,380773
Src substrate cortactin  ,sp|Q60598|SRC8_MOUSE,Q60598,Cttn,-0.43,0.093,-0.46,0.034,-0.35,0.163,-0.47,0.173,13043
SRSF protein kinase 2  ,sp|O54781|SRPK2_MOUSE,O54781,Srpk2,-0.21,0.378,-0.41,0.114,-0.02,0.686,0.05,0.955,20817
STAM-binding protein  ,sp|Q9CQ26|STABP_MOUSE,Q9CQ26,Stambp,-0.08,0.796,-0.65,0.15,0,0.681,-0.13,0.743,70527
Stanniocalcin-2  ,sp|O88452|STC2_MOUSE,O88452,Stc2,0.12,0.51,-0.11,0.818,-0.75,0.114,-0.98,0.977,20856
Staphylococcal nuclease domain-containing protein 1  ,sp|Q78PY7|SND1_MOUSE,Q78PY7,Snd1,-0.35,0.163,0.27,0.351,-0.25,0.637,-0.56,0.075,56463
StAR-related lipid transfer protein 5  ,sp|Q9EPQ7|STAR5_MOUSE,Q9EPQ7,Stard5,0,0.993,-0.22,0.144,0.05,0.947,0.24,0.233,170460
Stathmin  ,sp|P54227|STMN1_MOUSE,P54227,Stmn1,-0.55,0.171,-0.32,0.365,0.22,0.7,0.49,0.615,16765
STE20/SPS1-related proline-alanine-rich protein kinase  ,sp|Q9Z1W9|STK39_MOUSE,Q9Z1W9,Stk39,0.15,0.678,-0.01,0.67,-0.5,0.919,-1.36,0.261,53416
Steroid receptor RNA activator 1  ,sp|Q80VJ2|SRA1_MOUSE,Q80VJ2,Sra1,0.42,0.057,-0.29,0.595,0.34,0.579,0.73,0.299,24068
"Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating  ",sp|Q9R1J0|NSDHL_MOUSE,Q9R1J0,Nsdhl,0.2,0.295,0.23,0.778,0.05,0.128,-0.44,0.169,18194
STIP1 homology and U box-containing protein 1  ,sp|Q9WUD1|CHIP_MOUSE,Q9WUD1,Stub1,-0.08,0.687,0,0.316,0.38,0.309,0.48,0.156,56424
Stomatin-like protein 2  ,sp|Q99JB2|STML2_MOUSE,Q99JB2,Stoml2,0.09,0.862,0.17,0.137,0.47,0.237,0.57,0.167,66592
"Stress-70 protein, mitochondrial  ",sp|P38647|GRP75_MOUSE,P38647,Hspa9,-0.28,0.641,-0.29,0.933,0.38,0.825,0.48,0.743,15526
Stress-induced-phosphoprotein 1  ,sp|Q60864|STIP1_MOUSE,Q60864,Stip1,-0.21,0.373,-0.28,0.433,-0.14,0.945,-0.16,0.635,20867
Striatin  ,sp|O55106|STRN_MOUSE,O55106,Strn,0.09,0.728,0.14,0.484,-0.01,0.949,0.06,0.218,268980
Striatin-3  ,sp|Q9ERG2|STRN3_MOUSE,Q9ERG2,Strn3,0.2,0.539,0.07,0.807,0.26,0.64,0.42,0.789,94186
Striatin-interacting protein 1  ,sp|Q8C079|STRP1_MOUSE,Q8C079,Strip1,0.34,0.24,0.21,0.226,0.06,0.654,0.44,0.357,229707
Stromal cell-derived factor 2  ,sp|Q9DCT5|SDF2_MOUSE,Q9DCT5,Sdf2,0.52,0.048,0.28,0.448,0.71,0.369,1.53,0.196,20316
Stromal cell-derived factor 2-like protein 1  ,sp|Q9ESP1|SDF2L_MOUSE,Q9ESP1,Sdf2l1,-0.1,0.599,-0.25,0.548,-0.28,0.227,0.09,0.42,64136
Stromal membrane-associated protein 1  ,sp|Q91VZ6|SMAP1_MOUSE,Q91VZ6,Smap1,0.06,0.732,0.08,0.729,-0.05,0.987,-0.11,0.929,98366
Structural maintenance of chromosomes flexible hinge domain-containing protein 1  ,sp|Q6P5D8|SMHD1_MOUSE,Q6P5D8,Smchd1,-0.07,0.637,0,0.894,0.05,0.819,-0.04,0.697,74355
Structural maintenance of chromosomes protein 1A  ,sp|Q9CU62|SMC1A_MOUSE,Q9CU62,Smc1a,0.1,0.612,0.07,0.692,-0.33,0.61,-0.4,0.572,24061
Structural maintenance of chromosomes protein 2  ,sp|Q8CG48|SMC2_MOUSE,Q8CG48,Smc2,0.05,0.823,0.23,0.561,0.13,0.409,-0.09,0.861,14211
Structural maintenance of chromosomes protein 3  ,sp|Q9CW03|SMC3_MOUSE,Q9CW03,Smc3,0.08,0.649,0.07,0.788,0.11,0.343,-0.07,0.612,13006
Structural maintenance of chromosomes protein 4  ,sp|Q8CG47|SMC4_MOUSE,Q8CG47,Smc4,0.46,0.046,0.59,0.04,0.58,0.04,0.47,0.102,70099
"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial  ",sp|Q8K2B3|DHSA_MOUSE,Q8K2B3,Sdha,0.03,0.949,-0.25,0.549,0.11,0.534,-0.17,0.923,66945
"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial  ",sp|Q9CQA3|DHSB_MOUSE,Q9CQA3,Sdhb,-0.21,0.673,-0.17,0.618,0.21,0.887,0.43,0.893,67680
